title,year,first_author,citations,journal,url
[HTML][HTML] Deep learning to improve breast cancer detection on screening mammography,2019,L Shen,666,nature,"=HYPERLINK(""https://www.nature.com/articles/s41598-019-48995-4"", ""link"")"
"A deep learning architecture for image representation, visual interpretability and automated basal-cell carcinoma cancer detection",2013,AA Cruz-Roa,456,Springer,"=HYPERLINK(""https://engineering.case.edu/centers/ccipd/sites/ccipd.case.edu/files/publications/A%20Deep%20Learning%20Architecture%20for%20Image%20Representation,%20Visual%20Interpretability%20and%20Automated%20Basal-Cell%20Carcinoma%20Cancer%20Detection.pdf"", ""link"")"
[PDF][PDF] Accurate and reproducible invasive breast cancer detection in whole-slide images: A Deep Learning approach for quantifying tumor extent,2017,A Cruz-Roa,449,Springer,"=HYPERLINK(""https://link.springer.com/content/pdf/10.1038/srep46450.pdf"", ""link"")"
Deep learning for image-based cancer detection and diagnosis− A survey,2018,Z Hu,434,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0031320318301845"", ""link"")"
A deep learning approach for cancer detection and relevant gene identification,2017,P Danaee,325,Scientific,"=HYPERLINK(""https://www.worldscientific.com/doi/pdf/10.1142/9789813207813_0022"", ""link"")"
Big data and machine learning in radiation oncology: state of the art and future prospects,2016,JE Bibault,293,Elsevier,"=HYPERLINK(""http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3754.pdf"", ""link"")"
On breast cancer detection: an application of machine learning algorithms on the wisconsin diagnostic dataset,2018,AFM Agarap - … the 2nd international conference on machine learning …,226,dl,"=HYPERLINK(""https://arxiv.org/pdf/1711.07831.pdf&xid=17259,15700022,15700124,15700149,15700168,15700186,15700191,15700201,15700208"", ""link"")"
[HTML][HTML] Breast cancer detection using infrared thermal imaging and a deep learning model,2018,SJ Mambou,197,mdpi,"=HYPERLINK(""https://www.mdpi.com/331524"", ""link"")"
Robust breast cancer detection in mammography and digital breast tomosynthesis using an annotation-efficient deep learning approach,2021,W Lotter,188,nature,"=HYPERLINK(""https://arxiv.org/pdf/1912.11027"", ""link"")"
"[HTML][HTML] Recent advancement in cancer detection using machine learning: Systematic survey of decades, comparisons and challenges",2020,T Saba - Journal of Infection and Public Health,186,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S1876034120305633"", ""link"")"
Comparative study of machine learning algorithms for breast cancer detection and diagnosis,2016,D Bazazeh,179,ieeexplore,"=HYPERLINK(""https://www.researchgate.net/profile/Raed-Shubair-2/publication/320046589_Comparative_Study_of_Machine_Learning_Algorithms_for_Breast_Cancer_Detection_and_Diagnosis/links/59caded3aca272bb05079958/Comparative-Study-of-Machine-Learning-Algorithms-for-Breast-Cancer-Detection-and-Diagnosis.pdf"", ""link"")"
Lung cancer detection from CT image using improved profuse clustering and deep learning instantaneously trained neural networks,2019,PM Shakeel,172,Elsevier,"=HYPERLINK(""https://www.academia.edu/download/61117135/paper_120191103-16112-itr9tp.pdf"", ""link"")"
"A regularized ensemble framework of deep learning for cancer detection from multi-class, imbalanced training data",2018,X Yuan,161,Elsevier,"=HYPERLINK(""https://www.sciencedirect.com/science/article/pii/S0031320317305034"", ""link"")"
[HTML][HTML] Clinically applicable histopathological diagnosis system for gastric cancer detection using deep learning,2020,Z Song,154,nature,"=HYPERLINK(""https://www.nature.com/articles/s41467-020-18147-8"", ""link"")"
Breast cancer detection using machine learning algorithms,2018,S Sharma,150,ieeexplore,"=HYPERLINK(""https://ijaem.net/issue_dcp/Breast%20Cancer%20Detection%20Using%20Machine%20Learning%20Algorithms.pdf"", ""link"")"
Deep learning based liver cancer detection using watershed transform and Gaussian mixture model techniques,2019,A Das,148,Elsevier,"=HYPERLINK(""https://www.researchgate.net/profile/Sukanta-Sabut/publication/232634031_Neuroprosthesis-Functional_Electrical_Stimulation_Opportunities_in_Clinical_Application_for_Correction_of_Drop-Foot/links/5c1b2e56a6fdccfc705adaf0/Neuroprosthesis-Functional-Electrical-Stimulation-Opportunities-in-Clinical-Application-for-Correction-of-Drop-Foot.pdf"", ""link"")"
